year,region,population,births,deaths
2010,Shizuoka,3702776,31896,36420
2010,Aichi,7247125,69872,58477
2010,Mie,1821502,15262,18691
2010,Shiga,1388741,13363,11602
2010,Kyoto,2593340,21234,23714
2010,Osaka,8697550,75080,76556
2010,Hyogo,5507961,47834,51568
2010,Nara,1391395,10694,13036
2010,Wakayama,997305,7587,12049
2010,Tottori,585005,4790,6947
2010,Shimane,712516,5756,9109
2010,Okayama,1926378,16759,20248
2010,Hiroshima,2827820,25546,27561
2010,Yamaguchi,1439011,11551,17646
2010,Tokushima,781300,5904,9307
2010,Kagawa,988786,8397,11064
2010,Ehime,1423425,11427,16344
2010,Kochi,761239,5518,9769
2010,Fukuoka,5030961,46818,46996
2010,Saga,846146,7640,9212
2010,Nagasaki,1420166,12004,16303
2010,Kumamoto,1809626,16246,19219
2010,Oita,1187599,10072,12988
2010,Miyazaki,1131381,10217,12334
2010,Kagoshima,1700683,15124,20294
2010,Okinawa,1385104,17098,10156
2011,Japan,126180000,1050807,1253068
2011,Hokkaido,5467000,39292,56970
2011,Aomori,1360000,9532,16419
2011,Iwate,1309000,9310,22335
2011,Miyagi,2315000,18062,33975
2011,Akita,1072000,6658,14642
2011,Yamagata,1156000,8555,14880
2011,Fukushima,1981000,15072,26106
2011,Ibaraki,2919000,23219,29910
2011,Tochigi,1975000,15913,20469
2011,Gunma,1966000,15637,20930
2011,Saitama,7117000,58059,57670
2011,Chiba,6135000,50379,51689
2011,Tokyo,12869000,106027,105723
2011,Kanagawa,8934000,76000,70946
2011,Niigata,2351000,17667,27320
2011,Toyama,1077000,7823,12264
2011,Ishikawa,1157000,9555,11962
2011,Fukui,793000,6728,8757
2011,Yamanashi,846000,6412,9358
2011,Nagano,2115000,16917,23887
2011,Gifu,2037000,16851,21054
2011,Shizuoka,3694000,31172,37303
2011,Aichi,7262000,68973,59720
2011,Mie,1816000,15080,19271
2011,Shiga,1394000,13338,11884
2011,Kyoto,2590000,20707,24733
2011,Osaka,8699000,73919,78952
2011,Hyogo,5505000,47351,52259
2011,Nara,1387000,10400,13267
2011,Wakayama,990000,7460,12310
2011,Tottori,582000,4931,6958
2011,Shimane,708000,5582,9412
2011,Okayama,1922000,16635,20407
2011,Hiroshima,2824000,25469,28608
2011,Yamaguchi,1431000,11222,17884
2011,Tokushima,776000,5914,9435
2011,Kagawa,985000,8311,11316
2011,Ehime,1416000,11329,16950
2011,Kochi,755000,5244,9884
2011,Fukuoka,5038000,46220,48112
2011,Saga,843000,7613,9472
2011,Nagasaki,1411000,11727,16645
2011,Kumamoto,1805000,16118,20008
2011,Oita,1183000,9988,13806
2011,Miyazaki,1127000,10152,12980
2011,Kagoshima,1693000,15244,21047
2011,Okinawa,1393000,16918,10686
2012,Japan,125957000,1037232,1256359
2012,Hokkaido,5442000,38686,58066
2012,Aomori,1347000,9168,17294
2012,Iwate,1299000,9277,16072
2012,Miyagi,2315000,18707,22101
2012,Akita,1060000,6543,14856
2012,Yamagata,1146000,8212,14752
2012,Fukushima,1955000,13770,23418
2012,Ibaraki,2907000,22896,30009
2012,Tochigi,1968000,15973,20784
2012,Gunma,1959000,14914,21169
2012,Saitama,7126000,56943,59137
2012,Chiba,6119000,48881,53206
2012,Tokyo,12916000,107401,109194
2012,Kanagawa,8947000,75477,71996
2012,Niigata,2336000,17476,28083
2012,Toyama,1072000,7880,12754
2012,Ishikawa,1154000,9544,12223
2012,Fukui,789000,6712,8795
2012,Yamanashi,841000,6336,9555
2012,Nagano,2106000,16661,24474
2012,Gifu,2029000,16496,21531
2012,Shizuoka,3683000,30810,38194
2012,Aichi,7277000,67913,61354
2012,Mie,1811000,14729,19210
2012,Shiga,1396000,13236,12221
2012,Kyoto,2584000,20111,25416
2012,Osaka,8697000,73012,80472
2012,Hyogo,5496000,46436,53657
2012,Nara,1381000,10565,13656
2012,Wakayama,983000,7424,12435
2012,Tottori,578000,4771,7074
2012,Shimane,702000,5585,9513
2012,Okayama,1919000,16279,21181
2012,Hiroshima,2817000,24846,29273
2012,Yamaguchi,1420000,10797,18231
2012,Tokushima,772000,5744,9781
2012,Kagawa,982000,8161,11369
2012,Ehime,1408000,11130,17216
2012,Kochi,749000,5266,10142
2012,Fukuoka,5044000,45815,48957
2012,Saga,840000,7440,9676
2012,Nagasaki,1402000,11723,16784
2012,Kumamoto,1799000,15996,20565
2012,Oita,1178000,9650,14050
2012,Miyazaki,1122000,9858,13051
2012,Kagoshima,1684000,14841,21281
2012,Okinawa,1401000,17074,10626
2013,Japan,125704000,1029817,1268438
2013,Hokkaido,5412000,38190,59432
2013,Aomori,1333000,9126,17112
2013,Iwate,1290000,9231,15970
2013,Miyagi,2317000,18949,22214
2013,Akita,1047000,6177,14824
2013,Yamagata,1136000,8159,15029
2013,Fukushima,1939000,14546,23611
2013,Ibaraki,2894000,22358,30368
2013,Tochigi,1961000,15588,20591
2013,Gunma,1950000,14732,21661
2013,Saitama,7134000,57470,60264
2013,Chiba,6114000,48343,53603
2013,Tokyo,12979000,109986,110507
2013,Kanagawa,8956000,74320,72970
2013,Niigata,2319000,17066,28383
2013,Toyama,1065000,7722,12547
2013,Ishikawa,1150000,9449,12223
2013,Fukui,784000,6461,8764
2013,Yamanashi,836000,6198,9441
2013,Nagano,2095000,16326,24304
2013,Gifu,2018000,16000,21518
2013,Shizuoka,3668000,30260,38393
2013,Aichi,7289000,66825,62395
2013,Mie,1802000,14514,19690
2013,Shiga,1397000,13015,12233
2013,Kyoto,2576000,20106,25332
2013,Osaka,8690000,72054,81864
2013,Hyogo,5483000,45673,54366
2013,Nara,1374000,10190,14029
2013,Wakayama,975000,7122,12773
2013,Tottori,574000,4759,7270
2013,Shimane,697000,5534,9572
2013,Okayama,1913000,16210,21199
2013,Hiroshima,2809000,24713,29358
2013,Yamaguchi,1408000,10705,18459
2013,Tokushima,766000,5666,10014
2013,Kagawa,979000,8059,11512
2013,Ehime,1398000,10696,17480
2013,Kochi,742000,5266,10244
2013,Fukuoka,5047000,45898,49456
2013,Saga,836000,7276,9640
2013,Nagasaki,1391000,11566,17225
2013,Kumamoto,1793000,15954,20237
2013,Oita,1170000,9605,13874
2013,Miyazaki,1116000,9854,12906
2013,Kagoshima,1674000,14637,21162
2013,Okinawa,1407000,17209,10956
2014,Japan,125431000,1003609,1273025
2014,Hokkaido,5381000,37058,60019
2014,Aomori,1318000,8853,17042
2014,Iwate,1280000,8803,16274
2014,Miyagi,2316000,18069,22854
2014,Akita,1034000,5998,15096
2014,Yamagata,1125000,7966,15032
2014,Fukushima,1928000,14518,23496
2014,Ibaraki,2881000,21932,30353
2014,Tochigi,1954000,15442,20755
2014,Gunma,1941000,14522,21441
2014,Saitama,7143000,55765,61269
2014,Chiba,6114000,46753,53978
2014,Tokyo,13044000,110629,111024
2014,Kanagawa,8967000,72997,74387
2014,Niigata,2302000,16480,28316
2014,Toyama,1059000,7556,12584
2014,Ishikawa,1146000,8961,12190
2014,Fukui,780000,6166,8817
2014,Yamanashi,830000,6063,9755
2014,Nagano,2083000,15848,24752
2014,Gifu,2008000,15138,21658
2014,Shizuoka,3651000,28684,38342
2014,Aichi,7298000,65219,62426
2014,Mie,1793000,13727,19525
2014,Shiga,1397000,12729,12266
2014,Kyoto,2569000,19583,25507
2014,Osaka,8678000,69968,81653
2014,Hyogo,5468000,44352,54147
2014,Nara,1367000,9625,13835
2014,Wakayama,967000,7140,12609
2014,Tottori,571000,4527,7076
2014,Shimane,692000,5359,9369
2014,Okayama,1907000,15837,21051
2014,Hiroshima,2801000,23776,29463
2014,Yamaguchi,1397000,10197,17910
2014,Tokushima,760000,5502,9853
2014,Kagawa,974000,7745,11503
2014,Ehime,1388000,10399,17529
2014,Kochi,735000,5015,9984
2014,Fukuoka,5046000,45203,49317
2014,Saga,831000,7159,9732
2014,Nagasaki,1380000,11323,17091
2014,Kumamoto,1785000,15558,20461
2014,Oita,1163000,9280,14066
2014,Miyazaki,1110000,9509,13110
2014,Kagoshima,1662000,14236,21413
2014,Okinawa,1411000,16375,11362
2015,Japan,125319299,1005721,1290510
2015,Hokkaido,5360032,36696,60667
2015,Aomori,1304813,8621,17148
2015,Iwate,1274574,8814,16502
2015,Miyagi,2319616,18023,23121
2015,Akita,1020199,5861,14794
2015,Yamagata,1118381,7831,14960
2015,Fukushima,1905278,14195,24205
2015,Ibaraki,2875434,21700,31025
2015,Tochigi,1947505,15306,20519
2015,Gunma,1935898,14256,21519
2015,Saitama,7160471,56078,62566
2015,Chiba,6130930,47019,56080
2015,Tokyo,13131172,113194,111673
2015,Kanagawa,8979438,73476,75765
2015,Niigata,2292676,16340,28297
2015,Toyama,1055528,7567,12731
2015,Ishikawa,1144626,9072,12280
2015,Fukui,777192,6230,8971
2015,Yamanashi,823723,5988,9637
2015,Nagano,2072135,15639,24536
2015,Gifu,1996303,15467,21999
2015,Shizuoka,3640343,28352,39518
2015,Aichi,7315314,65615,64061
2015,Mie,1784379,13950,20139
2015,Shiga,1392890,12622,12507
2015,Kyoto,2565573,19663,25495
2015,Osaka,8683865,70596,83577
2015,Hyogo,5456154,44016,55391
2015,Nara,1355570,9832,13920
2015,Wakayama,958901,7030,12549
2015,Tottori,570037,4624,7271
2015,Shimane,688953,5551,9604
2015,Okayama,1903981,15599,21525
2015,Hiroshima,2808773,23679,29880
2015,Yamaguchi,1393199,10360,18211
2015,Tokushima,751830,5586,9847
2015,Kagawa,969270,7719,11593
2015,Ehime,1377071,10146,17585
2015,Kochi,725032,5052,10020
2015,Fukuoka,5053500,45236,50262
2015,Saga,828944,7064,9702
2015,Nagasaki,1369432,11020,16855
2015,Kumamoto,1777726,15577,20692
2015,Oita,1157581,9113,13958
2015,Miyazaki,1100364,9226,13494
2015,Kagoshima,1642281,14125,21354
2015,Okinawa,1422412,16942,11326
2016,Japan,125020252,977242,1308158
2016,Hokkaido,5327000,35129,61920
2016,Aomori,1290000,8626,17309
2016,Iwate,1263000,8342,16959
2016,Miyagi,2314000,17399,23523
2016,Akita,1007000,5666,15244
2016,Yamagata,1107000,7547,15181
2016,Fukushima,1891000,13745,24166
2016,Ibaraki,2861000,20878,31414
2016,Tochigi,1939000,14621,21436
2016,Gunma,1926000,13661,22127
2016,Saitama,7169000,54452,63470
2016,Chiba,6137000,45389,56398
2016,Tokyo,13207000,111964,113415
2016,Kanagawa,8986000,70649,77363
2016,Niigata,2273000,15737,28822
2016,Toyama,1049000,7302,12864
2016,Ishikawa,1140000,8928,12422
2016,Fukui,772000,6114,9228
2016,Yamanashi,818000,5819,9565
2016,Nagano,2060000,15171,25114
2016,Gifu,1985000,14831,22474
2016,Shizuoka,3623000,27654,39297
2016,Aichi,7324000,64231,65227
2016,Mie,1775000,13376,20098
2016,Shiga,1392000,12073,12507
2016,Kyoto,2559000,19327,25830
2016,Osaka,8672000,68817,84391
2016,Hyogo,5438000,43379,55422
2016,Nara,1347000,9430,14054
2016,Wakayama,949000,6659,12620
2016,Tottori,566000,4436,7357
2016,Shimane,684000,5300,9562
2016,Okayama,1896000,15477,21532
2016,Hiroshima,2799000,22736,29994
2016,Yamaguchi,1381000,9844,18366
2016,Tokushima,746000,5346,9855
2016,Kagawa,964000,7510,11908
2016,Ehime,1366000,9911,17734
2016,Kochi,718000,4779,10305
2016,Fukuoka,5054000,44036,51011
2016,Saga,824000,6811,9725
2016,Nagasaki,1358000,10886,17071
2016,Kumamoto,1765000,14896,21379
2016,Oita,1150000,9059,14264
2016,Miyazaki,1092000,8929,13702
2016,Kagoshima,1630000,13688,21610
2016,Okinawa,1427000,16617,11706
2017,Japan,124648471,946146,1340567
2017,Hokkaido,5292000,34058,62451
2017,Aomori,1274000,8035,17575
2017,Iwate,1249000,8175,17232
2017,Miyagi,2305000,16681,23973
2017,Akita,992000,5396,15425
2017,Yamagata,1095000,7259,15332
2017,Fukushima,1871000,13219,24778
2017,Ibaraki,2847000,20431,32261
2017,Tochigi,1930000,14029,21829
2017,Gunma,1913000,13280,22587
2017,Saitama,7174000,53076,65770
2017,Chiba,6141000,44055,59013
2017,Tokyo,13273000,108990,116453
2017,Kanagawa,8989000,68133,80354
2017,Niigata,2253000,14967,29323
2017,Toyama,1043000,7178,13161
2017,Ishikawa,1136000,8696,12727
2017,Fukui,767000,5856,9347
2017,Yamanashi,811000,5705,9678
2017,Nagano,2047000,14525,25674
2017,Gifu,1970000,14040,22968
2017,Shizuoka,3605000,26261,41078
2017,Aichi,7328000,62436,67177
2017,Mie,1763000,12663,20531
2017,Shiga,1390000,11600,13083
2017,Kyoto,2551000,18521,26431
2017,Osaka,8657000,66605,87086
2017,Hyogo,5417000,41606,56584
2017,Nara,1338000,8965,14486
2017,Wakayama,939000,6465,12772
2017,Tottori,561000,4310,7536
2017,Shimane,678000,5109,9694
2017,Okayama,1888000,14910,21604
2017,Hiroshima,2789000,22150,30795
2017,Yamaguchi,1369000,9455,18712
2017,Tokushima,739000,5182,10207
2017,Kagawa,959000,7387,11894
2017,Ehime,1354000,9569,18149
2017,Kochi,710000,4837,10150
2017,Fukuoka,5051000,43440,52531
2017,Saga,819000,6743,9974
2017,Nagasaki,1346000,10558,17515
2017,Kumamoto,1754000,14657,21588
2017,Oita,1142000,8658,14398
2017,Miyazaki,1083000,8797,13749
2017,Kagoshima,1617000,13209,21833
2017,Okinawa,1429000,16218,11945
2018,Japan,124218285,918400,1362470
2018,Hokkaido,5253000,32642,64187
2018,Aomori,1258000,7803,17936
2018,Iwate,1234000,7615,17390
2018,Miyagi,2296000,16211,24520
2018,Akita,978000,5040,15434
2018,Yamagata,1083000,6973,15320
2018,Fukushima,1851000,12495,24747
2018,Ibaraki,2829000,19368,32927
2018,Tochigi,1919000,13495,21885
2018,Gunma,1901000,12922,22937
2018,Saitama,7175000,51241,67726
2018,Chiba,6143000,43404,59561
2018,Tokyo,13340000,107150,119253
2018,Kanagawa,8993000,66564,82336
2018,Niigata,2230000,14509,30068
2018,Toyama,1035000,6846,13066
2018,Ishikawa,1130000,8359,12723
2018,Fukui,762000,5826,9221
2018,Yamanashi,805000,5556,9916
2018,Nagano,2032000,14184,25422
2018,Gifu,1956000,13720,23062
2018,Shizuoka,3582000,25192,41972
2018,Aichi,7323000,61230,68833
2018,Mie,1751000,12582,20900
2018,Shiga,1388000,11350,13246
2018,Kyoto,2539000,17909,26654
2018,Osaka,8639000,65446,89494
2018,Hyogo,5394000,39713,57452
2018,Nara,1329000,8947,14674
2018,Wakayama,929000,6070,13062
2018,Tottori,556000,4190,7309
2018,Shimane,671000,4887,9724
2018,Okayama,1877000,14485,22429
2018,Hiroshima,2776000,21363,31346
2018,Yamaguchi,1355000,8987,18836
2018,Tokushima,731000,4998,10011
2018,Kagawa,952000,6899,12169
2018,Ehime,1342000,9330,18207
2018,Kochi,702000,4559,10251
2018,Fukuoka,5047000,42008,53309
2018,Saga,813000,6535,10112
2018,Nagasaki,1333000,10135,17714
2018,Kumamoto,1743000,14301,21380
2018,Oita,1132000,8200,14492
2018,Miyazaki,1074000,8434,13981
2018,Kagoshima,1604000,12956,22106
2018,Okinawa,1432000,15732,12157
2019,Japan,123731176,865239,1381093
2019,Hokkaido,5211000,31020,65498
2019,Aomori,1240000,7170,18424
2019,Iwate,1219000,6974,17826
2019,Miyagi,2283000,14947,25202
2019,Akita,963000,4696,15784
2019,Yamagata,1070000,6401,15719
2019,Fukushima,1831000,11552,25004
2019,Ibaraki,2810000,18004,33440
2019,Tochigi,1906000,12608,22138
2019,Gunma,1886000,11901,23254
2019,Saitama,7174000,48298,69537
2019,Chiba,6141000,40799,62004
2019,Tokyo,13405000,101818,120870
2019,Kanagawa,8997000,63035,83968
2019,Niigata,2206000,13640,30572
2019,Toyama,1026000,6604,13207
2019,Ishikawa,1123000,7808,12900
2019,Fukui,756000,5307,9593
2019,Yamanashi,798000,5193,10083
2019,Nagano,2016000,13553,26041
2019,Gifu,1940000,12776,23417
2019,Shizuoka,3557000,23457,42190
2019,Aichi,7316000,57145,69932
2019,Mie,1736000,11690,20811
2019,Shiga,1385000,10627,13221
2019,Kyoto,2527000,16993,27028
2019,Osaka,8623000,62557,90410
2019,Hyogo,5369000,38043,57938
2019,Nara,1319000,8323,14660
2019,Wakayama,918000,5869,12837
2019,Tottori,551000,3988,7605
2019,Shimane,665000,4594,9710
2019,Okayama,1866000,13695,21944
2019,Hiroshima,2761000,20034,31237
2019,Yamaguchi,1340000,8771,19081
2019,Tokushima,723000,4554,10126
2019,Kagawa,945000,6631,12148
2019,Ehime,1328000,8446,18281
2019,Kochi,693000,4270,10317
2019,Fukuoka,5039000,39754,54099
2019,Saga,808000,6231,9967
2019,Nagasaki,1318000,9585,17612
2019,Kumamoto,1731000,13305,21670
2019,Oita,1123000,7624,14614
2019,Miyazaki,1065000,8043,13788
2019,Kagoshima,1589000,11977,21834
2019,Okinawa,1434000,14902,12509
2020,Japan,123398962,840835,1372755
2020,Hokkaido,5188441,29523,65078
2020,Aomori,1232227,6837,17905
2020,Iwate,1203203,6718,17204
2020,Miyagi,2280203,14480,24632
2020,Akita,955659,4499,15379
2020,Yamagata,1060586,6217,15348
2020,Fukushima,1819085,11215,24515
2020,Ibaraki,2801640,17389,32931
2020,Tochigi,1891396,11808,21702
2020,Gunma,1879820,11660,23286
2020,Saitama,7159087,47328,70758
2020,Chiba,6122205,40168,62118
2020,Tokyo,13484028,99661,121219
2020,Kanagawa,9006608,60865,84601
2020,Niigata,2185171,12981,29455
2020,Toyama,1017321,6256,12981
2020,Ishikawa,1117364,7712,12721
2020,Fukui,752018,5313,9286
2020,Yamanashi,794358,5184,9796
2020,Nagano,2013539,12864,25428
2020,Gifu,1924681,12092,22720
2020,Shizuoka,3540934,22497,42191
2020,Aichi,7283260,55613,70518
2020,Mie,1718708,11141,20716
2020,Shiga,1380486,10437,13039
2020,Kyoto,2520012,16440,26860
2020,Osaka,8595483,61878,91644
2020,Hyogo,5356648,36953,58654
2020,Nara,1311730,7831,14678
2020,Wakayama,916179,5732,12610
2020,Tottori,548766,3783,7096
2020,Shimane,662115,4473,9585
2020,Okayama,1859012,13521,21788
2020,Hiroshima,2746811,19606,30244
2020,Yamaguchi,1326043,8203,18477
2020,Tokushima,713716,4521,9886
2020,Kagawa,937342,6179,12183
2020,Ehime,1322257,8102,18036
2020,Kochi,686982,4082,9998
2020,Fukuoka,5055456,38966,53273
2020,Saga,804878,6004,9963
2020,Nagasaki,1303067,9182,17646
2020,Kumamoto,1722005,13011,21156
2020,Oita,1111592,7582,14444
2020,Miyazaki,1062573,7720,14140
2020,Kagoshima,1577022,11638,21501
2020,Okinawa,1447245,14943,12390
2021,Japan,122780487,811622,1439856
2021,Hokkaido,5147000,28762,69023
2021,Aomori,1216000,6513,18785
2021,Iwate,1189000,6472,17631
2021,Miyagi,2269000,13761,25897
2021,Akita,941000,4335,16019
2021,Yamagata,1048000,5898,15753
2021,Fukushima,1799000,10649,25559
2021,Ibaraki,2785000,16502,33814
2021,Tochigi,1880000,11475,22712
2021,Gunma,1866000,11236,24304
2021,Saitama,7152000,45424,75164
2021,Chiba,6114000,38426,65244
2021,Tokyo,13459000,95404,127649
2021,Kanagawa,9007000,58836,89701
2021,Niigata,2161000,12608,30990
2021,Toyama,1008000,6076,13650
2021,Ishikawa,1111000,7258,13214
2021,Fukui,746000,5223,9721
2021,Yamanashi,789000,4966,10107
2021,Nagano,1999000,12514,26001
2021,Gifu,1907000,11730,24126
2021,Shizuoka,3515000,21571,43194
2021,Aichi,7261000,53918,73769
2021,Mie,1705000,10980,21639
2021,Shiga,1377000,10130,13674
2021,Kyoto,2505000,15818,28316
2021,Osaka,8565000,59780,97282
2021,Hyogo,5324000,35581,61980
2021,Nara,1302000,7751,15573
2021,Wakayama,907000,5514,12930
2021,Tottori,544000,3708,7605
2021,Shimane,655000,4415,9851
2021,Okayama,1847000,13107,22857
2021,Hiroshima,2729000,18636,31774
2021,Yamaguchi,1312000,7978,19406
2021,Tokushima,706000,4337,10465
2021,Kagawa,930000,6223,12329
2021,Ehime,1309000,8011,18770
2021,Kochi,680000,4090,10423
2021,Fukuoka,5045000,37540,56410
2021,Saga,800000,5853,10145
2021,Nagasaki,1288000,8862,18248
2021,Kumamoto,1712000,12670,22093
2021,Oita,1102000,7327,15104
2021,Miyazaki,1054000,7590,14520
2021,Kagoshima,1565000,11618,21979
2021,Okinawa,1449000,14535,13582
2022,Japan,122030523,770759,1569050
2022,Hokkaido,5098000,26407,74437
2022,Aomori,1198000,5985,20117
2022,Iwate,1173000,5788,19342
2022,Miyagi,2256000,12852,28040
2022,Akita,926000,3992,17256
2022,Yamagata,1033000,5674,16883
2022,Fukushima,1776000,9709,27394
2022,Ibaraki,2767000,15905,37256
2022,Tochigi,1865000,10518,24992
2022,Gunma,1850000,10688,26589
2022,Saitama,7136000,43451,82221
2022,Chiba,6100000,36966,72258
2022,Tokyo,13443000,91097,139264
2022,Kanagawa,8991000,56498,98821
2022,Niigata,2136000,11732,32313
2022,Toyama,998000,6022,15052
2022,Ishikawa,1102000,7075,14316
2022,Fukui,738000,4861,10519
2022,Yamanashi,784000,4759,11090
2022,Nagano,1984000,12143,28503
2022,Gifu,1888000,11124,26175
2022,Shizuoka,3484000,20575,47334
2022,Aichi,7228000,51152,81183
2022,Mie,1689000,10489,23341
2022,Shiga,1373000,9766,15043
2022,Kyoto,2485000,15068,31491
2022,Osaka,8524000,57315,106277
2022,Hyogo,5287000,33565,66541
2022,Nara,1291000,7315,17166
2022,Wakayama,896000,5238,14308
2022,Tottori,539000,3752,8031
2022,Shimane,648000,4161,10434
2022,Okayama,1832000,12371,24901
2022,Hiroshima,2708000,17903,34940
2022,Yamaguchi,1297000,7762,20687
2022,Tokushima,698000,4148,10968
2022,Kagawa,920000,5802,13552
2022,Ehime,1294000,7572,19993
2022,Kochi,671000,3721,11472
2022,Fukuoka,5030000,35970,61302
2022,Saga,793000,5552,11204
2022,Nagasaki,1272000,8364,19309
2022,Kumamoto,1699000,11875,24427
2022,Oita,1092000,6798,16266
2022,Miyazaki,1044000,7136,16111
2022,Kagoshima,1550000,10540,23925
2022,Okinawa,1446000,13594,15054