region,population,births,deaths
Japan,124648471,946146,1340567
Hokkaido,5292000,34058,62451
Aomori,1274000,8035,17575
Iwate,1249000,8175,17232
Miyagi,2305000,16681,23973
Akita,992000,5396,15425
Yamagata,1095000,7259,15332
Fukushima,1871000,13219,24778
Ibaraki,2847000,20431,32261
Tochigi,1930000,14029,21829
Gunma,1913000,13280,22587
Saitama,7174000,53076,65770
Chiba,6141000,44055,59013
Tokyo,13273000,108990,116453
Kanagawa,8989000,68133,80354
Niigata,2253000,14967,29323
Toyama,1043000,7178,13161
Ishikawa,1136000,8696,12727
Fukui,767000,5856,9347
Yamanashi,811000,5705,9678
Nagano,2047000,14525,25674
Gifu,1970000,14040,22968
Shizuoka,3605000,26261,41078
Aichi,7328000,62436,67177
Mie,1763000,12663,20531
Shiga,1390000,11600,13083
Kyoto,2551000,18521,26431
Osaka,8657000,66605,87086
Hyogo,5417000,41606,56584
Nara,1338000,8965,14486
Wakayama,939000,6465,12772
Tottori,561000,4310,7536
Shimane,678000,5109,9694
Okayama,1888000,14910,21604
Hiroshima,2789000,22150,30795
Yamaguchi,1369000,9455,18712
Tokushima,739000,5182,10207
Kagawa,959000,7387,11894
Ehime,1354000,9569,18149
Kochi,710000,4837,10150
Fukuoka,5051000,43440,52531
Saga,819000,6743,9974
Nagasaki,1346000,10558,17515
Kumamoto,1754000,14657,21588
Oita,1142000,8658,14398
Miyazaki,1083000,8797,13749
Kagoshima,1617000,13209,21833
Okinawa,1429000,16218,11945